result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_dif_predicted
lose,3.45,1.27,-2.12,-1.31,-4.21,-3.57,-6,131,26,-209,-0.999486941
lose,3.39,-0.28,-2.34,-0.61,-3.36,-2.29,12,-267,23,-131,-0.883015223
lose,3.33,-0.98,-0.35,3.09,-1.08,-1.94,33,-255,13,-71,-0.494776162
lose,3.25,-1.85,3.9,6.33,2.45,3.39,-15,48,-9,21,0.359349772
draw,3.16,-2.12,0.66,2.77,-0.73,-2.79,52,-470,18,-121,-0.688895692
win,3.39,-4.14,5.66,10.48,4.33,2.57,4,-56,-34,204,1.329947424
draw,2.93,1.28,-6.16,-4.44,-8.05,-8.11,27,-450,10,-79,-0.378304444
draw,3.26,0.97,-1.75,0.36,-2.81,-3.07,54,-477,24,-183,-0.921839129
lose,3.04,-0.84,-1.22,-1.11,-2.61,-4.67,-16,334,4,-6,-0.145361007
lose,3.45,-4.21,2.78,9.89,-1.61,-5.67,-14,81,-17,103,0.66994102
draw,3.68,-3.71,7,7.33,7.62,6.2,-3,128,-38,259,1.485243048
draw,2.93,1.18,-0.73,-0.84,0.22,-1.78,3,-392,5,-198,-0.184184913
lose,2.87,1.69,-1.34,-0.95,-1.12,-1.28,5,-15,8,-167,-0.300656632
draw,3.42,2.32,-1.34,-0.95,-1.12,-1.28,3,-93,6,-142,-0.22300882
lose,3.12,-0.97,-1.89,-0.11,-1.67,-0.78,3,-64,11,-145,-0.41712835
win,4.68,-1.96,5.94,2.83,6.94,6.94,-19,321,-30,227,1.174651799
draw,4.52,-7.65,11.27,10.83,10.27,11.11,-29,458,-19,164,0.747588832
win,4,-8.2,6.94,1.33,8.44,8.44,-9,50,-18,127,0.708764926
win,2.62,-1.3,5,5.05,5.27,5.44,5,-14,-9,78,0.359349772
win,3.72,-4.42,4.94,3.83,8.94,1.94,-37,610,-29,229,1.135827893
win,3.03,0.75,0.94,0.86,1.15,1.56,7,-37,6,-96,-0.22300882
